SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
102-0000;129,212.04;19,950.00;23,442.40;125,719.64
102-0001;129,212.04;19,950.00;23,442.40;125,719.64
104-0000;239,478.89;159.51;0.00;239,638.40
104-0001;239,478.89;159.51;0.00;239,638.40
106-0000;0.00;19,950.00;19,950.00;0.00
106-0001;0.00;19,950.00;19,950.00;0.00
106-0002;0.00;0.00;0.00;0.00
108-0000;44,914.00;0.00;0.00;44,914.00
108-0001;44,914.00;0.00;0.00;44,914.00
108-0002;0.00;0.00;0.00;0.00
108-0003;0.00;0.00;0.00;0.00
112-0000;2,388.85;224.26;0.00;2,613.11
112-0001;0.00;110.00;0.00;110.00
112-0002;2,388.85;114.26;0.00;2,503.11
118-0000;0.00;2,862.40;2,862.40;0.00
118-0001;0.00;2,862.40;2,862.40;0.00
118-0002;0.00;0.00;0.00;0.00
118-0003;0.00;0.00;0.00;0.00
119-0000;0.00;0.00;0.00;0.00
119-0001;0.00;0.00;0.00;0.00
119-0002;0.00;0.00;0.00;0.00
119-0003;0.00;0.00;0.00;0.00
120-0000;3,492,368.00;0.00;0.00;3,492,368.00
120-0001;3,492,368.00;0.00;0.00;3,492,368.00
134-0000;2,222,729.00;0.00;0.00;2,222,729.00
134-0001;2,222,729.00;0.00;0.00;2,222,729.00
161-0000;268,239.65;0.00;9,261.37;277,501.02
161-0001;268,239.65;0.00;9,261.37;277,501.02
202-0000;0.00;0.00;0.00;0.00
202-0001;0.00;0.00;0.00;0.00
204-0000;0.00;0.00;0.00;0.00
204-0001;0.00;0.00;0.00;0.00
204-0002;0.00;0.00;0.00;0.00
208-0000;0.00;2,751.73;2,751.73;0.00
208-0001;0.00;2,751.73;2,751.73;0.00
209-0000;0.00;2,751.73;2,751.73;0.00
209-0001;0.00;2,751.73;2,751.73;0.00
211-0000;2,690.00;2,690.00;0.00;0.00
211-0001;2,690.00;2,690.00;0.00;0.00
211-0002;0.00;0.00;0.00;0.00
216-0000;0.00;0.00;0.00;0.00
216-0001;0.00;0.00;0.00;0.00
216-0002;0.00;0.00;0.00;0.00
218-0000;0.00;0.00;0.00;0.00
218-0001;0.00;0.00;0.00;0.00
310-0000;2,281,000.00;0.00;0.00;2,281,000.00
310-0001;516,000.00;0.00;0.00;516,000.00
310-0002;0.00;0.00;0.00;0.00
310-0003;1,765,000.00;0.00;0.00;1,765,000.00
315-0000;275,556.90;0.00;0.00;275,556.90
315-0001;-20,974.45;0.00;0.00;-20,974.45
315-0002;296,531.35;0.00;0.00;296,531.35
320-0000;3,846,833.00;0.00;0.00;3,846,833.00
320-0001;192,575.00;0.00;0.00;192,575.00
320-0002;3,654,258.00;0.00;0.00;3,654,258.00
410-0000;67,974.12;0.00;17,198.27;85,172.39
410-0001;67,974.12;0.00;17,198.27;85,172.39
410-0002;0.00;0.00;0.00;0.00
600-0000;24,132.00;17,890.00;0.00;42,022.00
600-0020;0.00;17,500.00;0.00;17,500.00
600-0022;0.00;0.00;0.00;0.00
600-0024;0.00;0.00;0.00;0.00
600-0026;0.00;0.00;0.00;0.00
600-0028;22,572.00;0.00;0.00;22,572.00
600-0030;0.00;0.00;0.00;0.00
600-0032;1,560.00;390.00;0.00;1,950.00
605-0000;37,045.48;9,261.37;0.00;46,306.85
605-0001;37,045.48;9,261.37;0.00;46,306.85
702-0000;1,099.14;0.00;273.77;1,372.91
702-0001;1,099.14;0.00;273.77;1,372.91
703-0000;10.75;0.67;0.00;11.42
703-0001;10.75;0.67;0.00;11.42
704-0000;0.00;0.00;0.00;0.00
704-0001;0.00;0.00;0.00;0.00
